0.988091 -0.225198 0.000000	-0.949974 0.260468 0.000000	-0.038117 -0.035270 0.000000	
0.988354 -0.224920 0.000000	-0.949649 0.260730 0.000000	-0.038705 -0.035811 0.000000	
0.988616 -0.224641 0.000000	-0.949323 0.260993 0.000000	-0.039292 -0.036352 0.000000	
0.988877 -0.224362 0.000000	-0.948997 0.261255 0.000000	-0.039880 -0.036893 0.000000	
0.989138 -0.224084 0.000000	-0.948670 0.261517 0.000000	-0.040468 -0.037434 0.000000	
0.989399 -0.223805 0.000000	-0.948343 0.261779 0.000000	-0.041056 -0.037974 0.000000	
0.989659 -0.223526 0.000000	-0.948016 0.262041 0.000000	-0.041643 -0.038515 0.000000	
0.989919 -0.223247 0.000000	-0.947687 0.262303 0.000000	-0.042231 -0.039056 0.000000	
0.990178 -0.222968 0.000000	-0.947359 0.262564 0.000000	-0.042819 -0.039597 0.000000	
0.990437 -0.222689 0.000000	-0.947030 0.262826 0.000000	-0.043407 -0.040137 0.000000	
0.990695 -0.222409 0.000000	-0.946700 0.263087 0.000000	-0.043995 -0.040678 0.000000	
0.990953 -0.222130 0.000000	-0.946370 0.263348 0.000000	-0.044584 -0.041218 0.000000	
0.991211 -0.221850 0.000000	-0.946039 0.263609 0.000000	-0.045172 -0.041758 0.000000	
0.991468 -0.221571 0.000000	-0.945708 0.263870 0.000000	-0.045760 -0.042299 0.000000	
0.991724 -0.221291 0.000000	-0.945376 0.264130 0.000000	-0.046348 -0.042839 0.000000	
0.991980 -0.221012 0.000000	-0.945044 0.264390 0.000000	-0.046937 -0.043379 0.000000	
0.992236 -0.220732 0.000000	-0.944711 0.264651 0.000000	-0.047525 -0.043919 0.000000	
0.992491 -0.220452 0.000000	-0.944378 0.264911 0.000000	-0.048114 -0.044459 0.000000	
0.992746 -0.220172 0.000000	-0.944044 0.265171 0.000000	-0.048702 -0.044999 0.000000	
0.993001 -0.219892 0.000000	-0.943710 0.265430 0.000000	-0.049291 -0.045538 0.000000	
0.993255 -0.219612 0.000000	-0.943375 0.265690 0.000000	-0.049880 -0.046078 0.000000	
0.993508 -0.219331 0.000000	-0.943040 0.265949 0.000000	-0.050468 -0.046618 0.000000	
0.993761 -0.219051 0.000000	-0.942704 0.266208 0.000000	-0.051057 -0.047157 0.000000	
0.994014 -0.218771 0.000000	-0.942367 0.266467 0.000000	-0.051646 -0.047697 0.000000	
0.994266 -0.218490 0.000000	-0.942031 0.266726 0.000000	-0.052235 -0.048236 0.000000	
0.994517 -0.218210 0.000000	-0.941693 0.266985 0.000000	-0.052824 -0.048775 0.000000	
0.994769 -0.217929 0.000000	-0.941355 0.267244 0.000000	-0.053413 -0.049314 0.000000	
0.995020 -0.217649 0.000000	-0.941017 0.267502 0.000000	-0.054003 -0.049853 0.000000	
0.995270 -0.217368 0.000000	-0.940678 0.267760 0.000000	-0.054592 -0.050392 0.000000	
0.995520 -0.217087 0.000000	-0.940339 0.268018 0.000000	-0.055181 -0.050931 0.000000	
0.995769 -0.216806 0.000000	-0.939999 0.268276 0.000000	-0.055771 -0.051470 0.000000	
0.996018 -0.216525 0.000000	-0.939658 0.268534 0.000000	-0.056360 -0.052009 0.000000	
0.996267 -0.216244 0.000000	-0.939317 0.268791 0.000000	-0.056950 -0.052547 0.000000	
0.996515 -0.215963 0.000000	-0.938976 0.269048 0.000000	-0.057540 -0.053086 0.000000	
0.996763 -0.215681 0.000000	-0.938634 0.269305 0.000000	-0.058129 -0.053624 0.000000	
0.997010 -0.215400 0.000000	-0.938291 0.269562 0.000000	-0.058719 -0.054162 0.000000	
0.997257 -0.215119 0.000000	-0.937948 0.269819 0.000000	-0.059309 -0.054700 0.000000	
0.997504 -0.214837 0.000000	-0.937605 0.270076 0.000000	-0.059899 -0.055238 0.000000	
0.997750 -0.214556 0.000000	-0.937261 0.270332 0.000000	-0.060489 -0.055776 0.000000	
0.997995 -0.214274 0.000000	-0.936916 0.270588 0.000000	-0.061079 -0.056314 0.000000	
0.998240 -0.213992 0.000000	-0.936571 0.270844 0.000000	-0.061669 -0.056852 0.000000	
0.998485 -0.213711 0.000000	-0.936225 0.271100 0.000000	-0.062260 -0.057390 0.000000	
0.998729 -0.213429 0.000000	-0.935879 0.271356 0.000000	-0.062850 -0.057927 0.000000	
0.998973 -0.213147 0.000000	-0.935532 0.271611 0.000000	-0.063441 -0.058464 0.000000	
0.999216 -0.212865 0.000000	-0.935185 0.271867 0.000000	-0.064031 -0.059002 0.000000	
0.999459 -0.212583 0.000000	-0.934837 0.272122 0.000000	-0.064622 -0.059539 0.000000	
0.999702 -0.212301 0.000000	-0.934489 0.272377 0.000000	-0.065213 -0.060076 0.000000	
0.999944 -0.212018 0.000000	-0.934140 0.272631 0.000000	-0.065803 -0.060613 0.000000	
1.000185 -0.211736 0.000000	-0.933791 0.272886 0.000000	-0.066394 -0.061150 0.000000	
1.000427 -0.211454 0.000000	-0.933441 0.273140 0.000000	-0.066985 -0.061686 0.000000	
1.000667 -0.211171 0.000000	-0.933091 0.273394 0.000000	-0.067576 -0.062223 0.000000	
1.000908 -0.210889 0.000000	-0.932740 0.273648 0.000000	-0.068168 -0.062760 0.000000	
1.001148 -0.210606 0.000000	-0.932389 0.273902 0.000000	-0.068759 -0.063296 0.000000	
1.001387 -0.210324 0.000000	-0.932037 0.274156 0.000000	-0.069350 -0.063832 0.000000	
1.001626 -0.210041 0.000000	-0.931684 0.274409 0.000000	-0.069942 -0.064368 0.000000	
1.001865 -0.209758 0.000000	-0.931332 0.274662 0.000000	-0.070533 -0.064904 0.000000	
1.002103 -0.209475 0.000000	-0.930978 0.274915 0.000000	-0.071125 -0.065440 0.000000	
1.002341 -0.209192 0.000000	-0.930624 0.275168 0.000000	-0.071717 -0.065976 0.000000	
1.002578 -0.208909 0.000000	-0.930270 0.275421 0.000000	-0.072309 -0.066511 0.000000	
1.002815 -0.208626 0.000000	-0.929914 0.275673 0.000000	-0.072900 -0.067047 0.000000	
1.003051 -0.208343 0.000000	-0.929559 0.275926 0.000000	-0.073493 -0.067582 0.000000	
1.003287 -0.208060 0.000000	-0.929203 0.276178 0.000000	-0.074085 -0.068118 0.000000	
1.003523 -0.207777 0.000000	-0.928846 0.276429 0.000000	-0.074677 -0.068653 0.000000	
1.003758 -0.207493 0.000000	-0.928489 0.276681 0.000000	-0.075269 -0.069188 0.000000	
1.003993 -0.207210 0.000000	-0.928131 0.276933 0.000000	-0.075862 -0.069722 0.000000	
1.004227 -0.206927 0.000000	-0.927773 0.277184 0.000000	-0.076454 -0.070257 0.000000	
1.004461 -0.206643 0.000000	-0.927414 0.277435 0.000000	-0.077047 -0.070792 0.000000	
1.004695 -0.206359 0.000000	-0.927055 0.277686 0.000000	-0.077640 -0.071326 0.000000	
1.004928 -0.206076 0.000000	-0.926695 0.277936 0.000000	-0.078232 -0.071860 0.000000	
1.005160 -0.205792 0.000000	-0.926335 0.278187 0.000000	-0.078825 -0.072395 0.000000	
1.005392 -0.205508 0.000000	-0.925974 0.278437 0.000000	-0.079418 -0.072929 0.000000	
1.005624 -0.205224 0.000000	-0.925613 0.278687 0.000000	-0.080012 -0.073463 0.000000	
1.005856 -0.204941 0.000000	-0.925251 0.278937 0.000000	-0.080605 -0.073996 0.000000	
1.006087 -0.204657 0.000000	-0.924888 0.279186 0.000000	-0.081198 -0.074530 0.000000	
1.006317 -0.204373 0.000000	-0.924525 0.279436 0.000000	-0.081792 -0.075063 0.000000	
1.006547 -0.204088 0.000000	-0.924162 0.279685 0.000000	-0.082385 -0.075597 0.000000	
1.006777 -0.203804 0.000000	-0.923798 0.279934 0.000000	-0.082979 -0.076130 0.000000	
1.007006 -0.203520 0.000000	-0.923433 0.280183 0.000000	-0.083573 -0.076663 0.000000	
1.007235 -0.203236 0.000000	-0.923068 0.280431 0.000000	-0.084167 -0.077196 0.000000	
1.007463 -0.202951 0.000000	-0.922702 0.280680 0.000000	-0.084761 -0.077728 0.000000	
1.007691 -0.202667 0.000000	-0.922336 0.280928 0.000000	-0.085355 -0.078261 0.000000	
1.007919 -0.202382 0.000000	-0.921969 0.281176 0.000000	-0.085949 -0.078793 0.000000	
1.008146 -0.202098 0.000000	-0.921602 0.281424 0.000000	-0.086544 -0.079326 0.000000	
1.008372 -0.201813 0.000000	-0.921234 0.281671 0.000000	-0.087138 -0.079858 0.000000	
1.008599 -0.201529 0.000000	-0.920866 0.281919 0.000000	-0.087733 -0.080390 0.000000	
1.008825 -0.201244 0.000000	-0.920497 0.282166 0.000000	-0.088327 -0.080922 0.000000	
1.009050 -0.200959 0.000000	-0.920128 0.282412 0.000000	-0.088922 -0.081453 0.000000	
1.009275 -0.200674 0.000000	-0.919758 0.282659 0.000000	-0.089517 -0.081985 0.000000	
1.009500 -0.200389 0.000000	-0.919387 0.282906 0.000000	-0.090112 -0.082516 0.000000	
1.009724 -0.200105 0.000000	-0.919016 0.283152 0.000000	-0.090708 -0.083047 0.000000	
1.009948 -0.199820 0.000000	-0.918645 0.283398 0.000000	-0.091303 -0.083578 0.000000	
1.010171 -0.199534 0.000000	-0.918273 0.283644 0.000000	-0.091898 -0.084109 0.000000	
1.010394 -0.199249 0.000000	-0.917900 0.283889 0.000000	-0.092494 -0.084640 0.000000	
1.010616 -0.198964 0.000000	-0.917527 0.284135 0.000000	-0.093090 -0.085170 0.000000	
1.010839 -0.198679 0.000000	-0.917153 0.284380 0.000000	-0.093685 -0.085701 0.000000	
1.011060 -0.198394 0.000000	-0.916779 0.284625 0.000000	-0.094281 -0.086231 0.000000	
1.011282 -0.198108 0.000000	-0.916404 0.284869 0.000000	-0.094877 -0.086761 0.000000	
1.011502 -0.197823 0.000000	-0.916029 0.285114 0.000000	-0.095473 -0.087291 0.000000	
1.011723 -0.197537 0.000000	-0.915653 0.285358 0.000000	-0.096070 -0.087821 0.000000	
1.011943 -0.197252 0.000000	-0.915277 0.285602 0.000000	-0.096666 -0.088350 0.000000	
1.012162 -0.196966 0.000000	-0.914900 0.285846 0.000000	-0.097263 -0.088879 0.000000	
1.012382 -0.196681 0.000000	-0.914522 0.286089 0.000000	-0.097859 -0.089409 0.000000	
1.012600 -0.196395 0.000000	-0.914144 0.286333 0.000000	-0.098456 -0.089938 0.000000	
1.012819 -0.196109 0.000000	-0.913766 0.286576 0.000000	-0.099053 -0.090466 0.000000	
1.013037 -0.195823 0.000000	-0.913387 0.286818 0.000000	-0.099650 -0.090995 0.000000	
1.013254 -0.195538 0.000000	-0.913007 0.287061 0.000000	-0.100247 -0.091524 0.000000	
1.013472 -0.195252 0.000000	-0.912627 0.287303 0.000000	-0.100845 -0.092052 0.000000	
1.013688 -0.194966 0.000000	-0.912246 0.287546 0.000000	-0.101442 -0.092580 0.000000	
1.013905 -0.194680 0.000000	-0.911865 0.287788 0.000000	-0.102040 -0.093108 0.000000	
1.014120 -0.194394 0.000000	-0.911483 0.288029 0.000000	-0.102638 -0.093636 0.000000	
1.014336 -0.194108 0.000000	-0.911101 0.288271 0.000000	-0.103235 -0.094163 0.000000	
1.014551 -0.193821 0.000000	-0.910718 0.288512 0.000000	-0.103833 -0.094691 0.000000	
1.014766 -0.193535 0.000000	-0.910334 0.288753 0.000000	-0.104432 -0.095218 0.000000	
1.014980 -0.193249 0.000000	-0.909950 0.288994 0.000000	-0.105030 -0.095745 0.000000	
1.015194 -0.192963 0.000000	-0.909566 0.289234 0.000000	-0.105628 -0.096272 0.000000	
1.015407 -0.192676 0.000000	-0.909181 0.289474 0.000000	-0.106227 -0.096798 0.000000	
1.015620 -0.192390 0.000000	-0.908795 0.289715 0.000000	-0.106825 -0.097325 0.000000	
1.015833 -0.192103 0.000000	-0.908409 0.289954 0.000000	-0.107424 -0.097851 0.000000	
1.016045 -0.191817 0.000000	-0.908022 0.290194 0.000000	-0.108023 -0.098377 0.000000	
